Date,Open,High,Low,Close,Adj Close,Volume
12-Sep-16,"2,120.86","2,150.76","2,119.12","2,148.10","2,148.10","321,471,413"
9-Sep-16,"2,169.08","2,169.08","2,127.81","2,127.81","2,127.81","4,233,960,000"
8-Sep-16,"2,182.76","2,184.94","2,177.49","2,181.30","2,181.30","3,727,840,000"
7-Sep-16,"2,185.17","2,187.87","2,179.07","2,186.16","2,186.16","3,319,420,000"
6-Sep-16,"2,181.61","2,186.57","2,175.10","2,186.48","2,186.48","3,447,650,000"
2-Sep-16,"2,177.49","2,184.87","2,173.59","2,179.98","2,179.98","3,091,120,000"
1-Sep-16,"2,171.33","2,173.56","2,157.09","2,170.86","2,170.86","3,392,120,000"
31-Aug-16,"2,173.56","2,173.79","2,161.35","2,170.95","2,170.95","3,766,390,000"
30-Aug-16,"2,179.45","2,182.27","2,170.41","2,176.12","2,176.12","3,006,800,000"
29-Aug-16,"2,170.19","2,183.48","2,170.19","2,180.38","2,180.38","2,654,780,000"
26-Aug-16,"2,175.10","2,187.94","2,160.39","2,169.04","2,169.04","3,342,340,000"
25-Aug-16,"2,173.29","2,179.00","2,169.74","2,172.47","2,172.47","2,969,310,000"
24-Aug-16,"2,185.09","2,186.66","2,171.25","2,175.44","2,175.44","3,148,280,000"
23-Aug-16,"2,187.81","2,193.42","2,186.80","2,186.90","2,186.90","3,041,490,000"
22-Aug-16,"2,181.58","2,185.15","2,175.96","2,182.64","2,182.64","2,777,550,000"
19-Aug-16,"2,184.24","2,185.00","2,175.13","2,183.87","2,183.87","3,084,800,000"
18-Aug-16,"2,181.90","2,187.03","2,180.46","2,187.02","2,187.02","3,300,570,000"
17-Aug-16,"2,177.84","2,183.08","2,168.50","2,182.22","2,182.22","3,388,910,000"
16-Aug-16,"2,186.24","2,186.24","2,178.14","2,178.15","2,178.15","3,196,400,000"
15-Aug-16,"2,186.08","2,193.81","2,186.08","2,190.15","2,190.15","3,078,530,000"
12-Aug-16,"2,183.74","2,186.28","2,179.42","2,184.05","2,184.05","3,000,660,000"
11-Aug-16,"2,177.97","2,188.45","2,177.97","2,185.79","2,185.79","3,423,160,000"
10-Aug-16,"2,182.81","2,183.41","2,172.00","2,175.49","2,175.49","3,254,950,000"
9-Aug-16,"2,182.24","2,187.66","2,178.61","2,181.74","2,181.74","3,334,300,000"
